config,test_year,brier_D,brier_D_PS,improvement_D_to_DPS,auc_D,auc_D_PS,n_test
w60_s1.00_n30,2024,0.09118341309190296,0.09124029878757299,-5.68856956700281e-05,0.5806969550680328,0.5799400430307473,6048
w60_s1.00_n30,2025,0.09047260021377206,0.08983510177918562,0.0006374984345864365,0.6332950593596355,0.6420480573210217,6000
w60_s1.00_n30,2026,0.11218849610686259,0.11228777132962106,-9.927522275847422e-05,0.5534359127894137,0.5526677878000306,2904
w60_s1.00_n50,2021,0.07777424814479723,0.07731204334334858,0.0004622048014486513,0.6050275843997153,0.622141017448867,6048
w60_s1.00_n50,2022,0.10198455025984952,0.10164107107753646,0.0003434791823130612,0.5888782601695824,0.6007808307395084,6024
w60_s1.00_n50,2023,0.0661849799476213,0.06576475900439864,0.00042022094322266557,0.5772307561017239,0.587871010411333,6000
w60_s1.00_n50,2024,0.09118341309190296,0.09126623895280983,-8.282586090686828e-05,0.5806969550680328,0.5803542586731987,6048
w60_s1.00_n50,2025,0.09047260021377206,0.08973277937288136,0.0007398208408906926,0.6332950593596355,0.6442738937522485,6000
w60_s1.00_n50,2026,0.11218849610686259,0.11237608410155012,-0.00018758799468752974,0.5534359127894137,0.5506760773921758,2904
w120_s0.25_n20,2021,0.07777424814479723,0.07764981934754922,0.00012442879724801348,0.6050275843997153,0.6118774417483619,6048
w120_s0.25_n20,2022,0.10198455025984952,0.10199144515187263,-6.894892023101562e-06,0.5888782601695824,0.5916184125791565,6024
w120_s0.25_n20,2023,0.0661849799476213,0.06618226062882185,2.7193187994573043e-06,0.5772307561017239,0.5770417306707629,6000
w120_s0.25_n20,2024,0.09118341309190296,0.09122021341725998,-3.68003253570226e-05,0.5806969550680328,0.5814273453843266,6048
w120_s0.25_n20,2025,0.09047260021377206,0.09015182672672514,0.0003207734870469131,0.6332950593596355,0.6379591377863053,6000
w120_s0.25_n20,2026,0.11218849610686259,0.1119942446723346,0.00019425143452798943,0.5534359127894137,0.5588786118330531,2904
w120_s0.25_n30,2021,0.07777424814479723,0.07764117685809381,0.00013307128670342339,0.6050275843997153,0.6122226846480239,6048
w120_s0.25_n30,2022,0.10198455025984952,0.10191645752983314,6.809273001638638e-05,0.5888782601695824,0.5930738166791887,6024
w120_s0.25_n30,2023,0.0661849799476213,0.06614618696476199,3.879298285931754e-05,0.5772307561017239,0.5779621095750127,6000
w120_s0.25_n30,2024,0.09118341309190296,0.09116499320007061,1.841989183234971e-05,0.5806969550680328,0.5821020102868518,6048
w120_s0.25_n30,2025,0.09047260021377206,0.09009837271019906,0.0003742275035729936,0.6332950593596355,0.6397198405084543,6000
w120_s0.25_n30,2026,0.11218849610686259,0.11194788848115368,0.00024060762570890515,0.5534359127894137,0.5597953719275001,2904
w120_s0.25_n50,2021,0.07777424814479723,0.07763087076053385,0.0001433773842633851,0.6050275843997153,0.6135680985051035,6048
w120_s0.25_n50,2022,0.10198455025984952,0.10193333454283747,5.1215717012054185e-05,0.5888782601695824,0.5925923043898251,6024
w120_s0.25_n50,2023,0.0661849799476213,0.06608536913459907,9.961081302223285e-05,0.5772307561017239,0.5794384707287934,6000
w120_s0.25_n50,2024,0.09118341309190296,0.09119822473138955,-1.4811639486592143e-05,0.5806969550680328,0.5815016956021621,6048
w120_s0.25_n50,2025,0.09047260021377206,0.0900723881553303,0.00040021205844176233,0.6332950593596355,0.6404804233121477,6000
w120_s0.25_n50,2026,0.11218849610686259,0.11194611483837831,0.00024238126848427632,0.5534359127894137,0.5603145331159014,2904
